告警起点,命中官方窗,S1,M1,在线挂RUL,分数比值,油温比值
2020-02-22 23:37:00,False,False,False,False,1.0308024435393144,0.9857966992843581
2020-02-23 05:07:00,False,False,False,False,1.0365545665142233,0.9848860981308413
2020-02-24 07:50:00,False,False,False,False,0.9965703960361383,0.9845609168552447
2020-02-25 07:45:00,False,False,False,False,1.042513052125959,0.9747057533445429
2020-02-25 21:06:00,False,False,False,False,0.9900234346722596,0.9886218585867039
2020-02-25 22:18:00,False,False,False,False,0.9881529163561151,0.9887944924564231
2020-02-26 04:27:00,False,False,False,False,0.9911066486509176,0.9888927255985267
2020-02-26 08:48:00,False,False,False,False,0.9927218606609177,0.9836399106680545
2020-02-26 17:24:00,False,False,False,False,0.9996990370120594,0.9827270731171778
2020-02-27 08:28:00,False,False,False,False,1.0293226885062623,0.9684938524590166
2020-02-28 17:43:00,False,False,False,False,0.9342041330376217,0.988913362701909
2020-03-01 04:38:00,False,False,False,False,0.9291657968298107,0.9832648267762771
2020-03-01 12:34:00,False,False,False,False,0.9900084948108417,0.9922896166838009
2020-03-02 02:42:00,False,False,False,False,1.1113031487452605,1.0063895417156286
2020-03-02 09:59:00,False,False,False,False,1.1975273771452863,1.0209114296214628
2020-03-02 11:54:00,False,False,False,False,1.2199533506322318,1.0246287310689606
2020-03-03 03:57:00,False,True,False,False,1.4056898979046846,1.0466705865059533
2020-03-03 21:57:00,False,True,True,True,1.692989876118236,1.1148270787343635
2020-03-05 10:38:00,False,True,True,True,1.542524928652665,1.1689787144804449
2020-03-06 07:50:00,False,True,True,True,1.3168536584796648,1.162095558997112
2020-03-07 10:43:00,False,False,True,False,1.1483046737169649,1.1685064697711822
2020-03-09 18:10:00,False,False,True,False,0.8916780008387081,1.1141226448409813
2020-03-10 01:19:00,False,False,True,False,0.8910427220440228,1.1120357584126754
2020-03-11 18:30:00,False,False,False,False,0.882458658175764,1.1086437613019893
2020-03-12 01:52:00,False,False,True,False,0.9051686151658581,1.112926547137073
2020-03-12 11:26:00,False,False,True,False,1.0725165193128825,1.1457264648508056
2020-03-12 15:31:00,False,False,True,False,1.112634112612134,1.149718330203669
2020-03-12 17:33:00,False,False,True,False,1.1329671464927695,1.1526471073698108
2020-03-14 06:33:00,False,False,True,False,1.038951522064096,1.1239541257934218
2020-03-15 08:55:00,False,False,False,False,1.0663970026940848,1.083095940845563
2020-03-15 23:29:00,False,False,False,False,1.0265066853886655,1.0633498812864235
2020-03-20 06:34:00,False,False,False,False,0.9180507922225256,0.9608446671438798
2020-03-21 03:08:00,False,False,False,False,0.8193923285337602,0.9673507462686567
2020-03-22 00:58:00,False,False,False,False,0.756791264515538,0.990715091823125
2020-03-24 10:19:00,False,False,False,False,0.8130915043813013,1.0127285765507348
2020-03-24 12:48:00,False,False,False,False,0.8342376942853793,1.011467889908257
2020-03-27 08:26:00,False,False,False,False,0.8893751561232464,1.0178553286599612
2020-03-28 08:28:00,False,False,False,False,0.9427472027928183,1.040908769198103
2020-03-30 07:37:00,False,True,True,True,1.3104601924556043,1.1391208325769953
2020-03-30 11:21:00,False,True,True,True,1.319024460219519,1.138397581254724
2020-04-02 10:03:00,False,False,False,False,1.1797809129410226,1.0796372368081606
2020-04-04 02:36:00,False,False,False,False,0.9479499965111496,0.994581990261299
2020-04-06 09:59:00,False,False,False,False,0.8210286095022877,0.9775984618969938
2020-04-06 11:31:00,False,False,False,False,0.8307617346872991,0.9768169148140593
2020-04-07 03:38:00,False,False,False,False,0.9093960692531834,1.001225156547781
2020-04-07 10:29:00,False,False,False,False,0.8807158046134523,1.0063096862210095
2020-04-07 20:53:00,False,False,False,False,0.8828961676258639,1.010354018589393
2020-04-09 04:54:00,False,False,False,False,0.972001851030884,1.0006174957118354
2020-04-13 16:43:00,False,False,False,False,1.045507388562261,0.9780768697100043
2020-04-13 18:33:00,False,False,False,False,1.0540114982610091,0.9772348695169352
2020-04-15 00:59:00,False,False,False,False,1.0847582336445662,0.963267009878948
2020-04-16 00:55:00,False,False,False,False,1.0912482748472154,0.9486443667234625
2020-04-17 00:43:00,False,False,False,False,1.0256233575335743,0.9268054197513619
2020-04-19 02:13:00,False,False,False,False,1.125947121240141,0.9971086036671366
2020-04-19 11:24:00,False,False,False,False,1.1318020224684013,1.0069522868435912
2020-04-20 04:54:00,False,False,False,False,1.1400307327790933,1.0457664285209025
2020-04-22 00:21:00,False,False,False,False,1.2172806591644934,1.0777410041546371
2020-04-25 00:38:00,False,False,False,False,0.7821959407027166,0.9315749235474006
2020-04-27 22:55:00,False,False,False,False,0.78952420546678,0.938518879754772
2020-04-29 00:31:00,False,False,False,False,0.7963126750666757,0.9379801648274898
2020-04-29 18:52:00,False,False,False,False,0.8076083318615779,0.9405611530926391
2020-04-30 23:38:00,False,False,False,False,0.8071433441757518,0.9440400363967242
2020-05-02 11:41:00,False,False,False,False,0.8085394368400495,0.9553158705701078
2020-05-03 10:24:00,False,False,False,False,0.8847091657898213,0.9858328060184208
2020-05-05 04:30:00,False,False,False,False,0.9749671039797394,1.012930730744838
2020-05-10 22:52:00,False,False,False,False,0.7888666127157721,0.9833178538258197
2020-05-11 23:04:00,False,False,False,False,0.823794616491605,0.9740873299928415
2020-05-13 14:14:00,False,False,False,False,0.9285229318422722,0.9538431509523125
2020-05-14 23:00:00,False,False,False,False,1.0229648838429388,0.9661757273843045
2020-05-15 13:34:00,False,False,False,False,1.0691135937080907,0.9702173913043478
2020-05-15 20:43:00,False,False,False,False,1.0423338566477172,0.9778632602699955
2020-05-16 09:31:00,False,False,False,False,1.0115042668848317,0.9919935948759006
2020-05-16 10:49:00,False,False,False,False,1.0237372125246835,0.9947226670548842
2020-05-17 07:21:00,False,False,False,False,1.0320817118591743,1.0177687154092632
2020-05-17 09:04:00,False,False,False,False,1.025869402646797,1.0173982674528645
2020-05-18 07:08:00,False,False,False,False,1.0540331696505896,1.033694782039153
2020-05-19 09:32:00,False,True,False,False,1.335571802647536,1.0983767651768817
2020-05-19 10:55:00,False,True,False,False,1.338168167090608,1.1018073667353008
2020-05-21 05:59:00,False,True,True,True,1.3076744568354386,1.1809399288152829
2020-05-21 17:18:00,False,True,True,True,1.260125185911187,1.1815245009074409
2020-05-23 00:08:00,False,False,True,False,1.0990290452838118,1.1805164827237968
2020-05-23 14:48:00,False,False,True,False,1.0192952538021876,1.1733213644524236
2020-05-25 23:53:00,False,False,True,False,1.1219823833847997,1.1431926553270229
2020-05-29 21:48:00,False,False,False,False,0.6893365815969414,1.079214812752332
2020-05-29 23:03:00,True,False,False,False,0.686626179074357,1.079214812752332
2020-05-30 06:13:00,False,False,False,False,0.6500768772180363,1.0795976611443687
2020-05-30 21:03:00,False,False,False,False,1.0653594405447533,1.100922522022612
2020-05-31 00:26:00,False,False,False,False,1.1428253677709417,1.106687898089172
2020-06-01 15:50:00,False,True,False,False,1.6517519404720595,1.0701652948778995
2020-06-01 18:46:00,False,True,False,False,1.659078014235752,1.0689397541261971
2020-06-02 09:20:00,False,True,False,False,1.8511255504534394,1.045814173654314
2020-06-02 19:09:00,False,True,False,False,1.8654077110993452,1.0420412301453195
2020-06-03 12:00:00,False,True,False,False,1.8822461724505641,1.034418948926721
2020-06-03 14:14:00,False,True,False,False,1.8708982297653578,1.0329544690295245
2020-06-04 20:25:00,False,True,False,False,1.5721049080436975,1.0325548715203425
2020-06-06 19:46:00,True,False,False,False,1.190780904648893,1.0940567789864686
2020-06-07 03:09:00,True,False,True,False,1.1021464936327685,1.1626374354219102
2020-06-08 11:52:00,False,False,True,False,0.7414446039998418,1.1937768950678582
2020-06-08 13:44:00,False,False,True,False,0.7308694638294724,1.1936978683966635
2020-06-08 16:12:00,False,False,True,False,0.7521743236073061,1.1936978683966635
2020-06-10 01:04:00,False,False,True,False,0.6844623984395917,1.1828134274220141
2020-06-10 08:57:00,False,False,False,False,0.6751499964815391,1.1072438046407678
2020-06-11 05:15:00,False,False,False,False,0.847554679568832,1.0324193007930305
2020-06-12 01:05:00,False,False,False,False,0.9528170466939571,0.9911204391346464
2020-06-13 09:07:00,False,False,False,False,1.1313598949440704,0.9629772961816306
2020-06-13 12:59:00,False,False,False,False,1.1398301034072937,0.9654605263157896
2020-06-13 14:30:00,False,False,False,False,1.1509812286797756,0.9665247678018577
2020-06-14 15:57:00,False,False,False,False,1.1465665888750167,0.9666537667698659
2020-06-14 20:18:00,False,False,False,False,1.1522801549488826,0.9685058233819844
2020-06-14 23:25:00,False,False,False,False,1.167010073618652,0.9739422084623324
2020-06-15 17:43:00,False,False,False,False,0.8901099388374746,1.008062435500516
2020-06-16 17:18:00,False,False,False,False,0.8582217852240681,1.0018704850361198
2020-06-16 21:09:00,False,False,False,False,0.8569414044835648,1.0006770698994067
2020-06-17 08:09:00,False,False,False,False,0.8800454176549163,1.006048516826459
2020-06-17 12:25:00,False,False,False,False,0.8994443918625655,1.0065594855305466
2020-06-19 05:20:00,False,False,False,False,1.1800263187033067,1.0231618118824586
2020-06-19 06:54:00,False,False,False,False,1.1880816749343714,1.0236369467607442
2020-06-19 10:37:00,False,False,False,False,1.1924896351878778,1.0231656520346044
2020-06-19 12:28:00,False,False,False,False,1.1977818965956823,1.0237317448116834
2020-06-19 14:23:00,False,False,False,False,1.2080033200852502,1.0247502561475412
2020-06-19 18:03:00,False,False,False,False,1.2260889783794793,1.0267537122375832
2020-06-21 04:29:00,False,False,False,False,1.214197392856002,1.0274543487942993
2020-06-25 05:17:00,False,False,False,False,0.8407500722047706,0.9917544082202207
2020-06-25 19:43:00,False,False,False,False,0.828303342890943,0.9925098387711057
2020-06-28 23:11:00,False,False,False,False,0.6384108700690493,1.0
2020-07-03 00:39:00,False,False,False,False,0.9221217381297887,1.006550816796404
2020-07-03 03:33:00,False,False,False,False,0.9238337639491535,1.0086019442312613
2020-07-05 10:51:00,False,False,False,False,0.8683114485378903,1.0187707853671017
2020-07-06 15:30:00,False,False,False,False,0.9571481103931181,1.0250063954975697
2020-07-06 18:15:00,False,False,False,False,0.9863041953737761,1.0272448196469686
2020-07-07 11:10:00,False,False,False,False,1.0825690844400173,1.0359426963417755
2020-07-08 15:24:00,False,False,False,False,1.111283826744158,1.0382450754668717
2020-07-08 17:54:00,False,False,False,False,1.12772122762297,1.0395561524686623
2020-07-08 21:38:00,False,False,False,False,1.185436459044511,1.0431376311077003
2020-07-09 23:23:00,False,False,False,False,1.1987737544772676,1.0477743668457409
2020-07-10 23:45:00,False,False,False,False,1.0904759651166052,1.0457546739626082
2020-07-11 05:36:00,False,False,False,False,1.0947916383794585,1.045643153526971
2020-07-12 04:40:00,False,False,False,False,1.0534317933213484,1.042014663691425
2020-07-13 09:30:00,False,False,False,False,1.024087859543628,1.0500798977309045
2020-07-14 02:04:00,False,False,False,False,1.0138332193414263,1.049884881043745
2020-07-15 14:50:00,True,False,False,False,1.1381692188129804,1.0657928388746802
2020-07-16 15:36:00,False,False,False,False,1.169901481306426,1.0681977447919984
2020-07-17 00:57:00,False,False,False,False,1.1739010387442583,1.0716148317751064
2020-07-17 07:29:00,False,False,False,False,1.1473589178381403,1.0722095092804478
2020-07-17 09:27:00,False,False,False,False,1.159305025899828,1.072508896797153
2020-07-18 01:35:00,False,False,False,False,1.2163732956982638,1.0828729281767955
2020-07-18 10:55:00,False,False,False,False,1.1625774764400085,1.068819246597024
2020-07-20 09:48:00,False,False,False,False,1.0693660070609368,1.0056482992343416
2020-07-21 22:10:00,False,False,False,False,0.9938707303957004,0.9919566850275414
2020-07-22 06:48:00,False,False,False,False,0.9465976048001222,0.9943366708385483
2020-07-24 01:04:00,False,False,False,False,0.8937768155914253,1.0025040691123073
2020-07-25 02:49:00,False,False,False,False,0.9628390612776031,1.0038866599799399
2020-07-26 04:44:00,False,False,False,False,1.040449406371615,0.993609022556391
2020-07-27 03:40:00,False,False,False,False,0.981200436818661,0.9830964753020722
2020-07-28 03:39:00,False,False,False,False,0.9636692687237336,0.9835849884092477
2020-07-28 22:59:00,False,False,False,False,0.9325055765965993,0.9838689469397982
2020-07-29 05:07:00,False,False,False,False,0.9141725082748112,0.9855853597392831
2020-07-30 23:31:00,False,False,False,False,0.8675600293601958,0.9842949918821033
2020-07-31 01:51:00,False,False,False,False,0.8756279842677449,0.9822744384377955
2020-08-03 09:05:00,False,False,False,False,0.9037223719543337,0.9748129675810475
2020-08-03 13:39:00,False,False,False,False,0.9104500063883074,0.9720421393841169
2020-08-05 08:27:00,False,False,False,False,0.8902530927230443,0.9642177016035738
2020-08-06 08:36:00,False,False,False,False,0.8735460280865956,0.9628729832430075
2020-08-07 18:19:00,False,False,False,False,0.7819800960786223,0.9710741225609377
2020-08-12 00:37:00,False,False,False,False,0.965027263459065,0.9685275384038967
2020-08-13 05:04:00,False,False,False,False,0.9474741085688058,0.9734504972168366
2020-08-15 00:28:00,False,False,False,False,0.904871662279677,0.9870757262061608
2020-08-16 02:55:00,False,False,False,False,0.9067182928346023,0.9854853911404334
2020-08-17 01:39:00,False,False,False,False,0.9005750638606217,0.9865281712307208
2020-08-19 10:58:00,False,False,False,False,0.9692597458156104,0.9855677933915685
2020-08-21 03:44:00,False,False,False,False,1.061698434816301,0.9981909356353941
2020-08-23 18:55:00,False,False,False,False,1.1442929449860133,1.0070450775596507
2020-08-26 02:18:00,False,False,False,False,1.059221765485012,1.0094050883121848
2020-08-28 01:17:00,False,False,False,False,1.0469205972771036,1.0021060693088262
2020-08-29 05:01:00,False,False,False,False,1.044037428832942,0.9955622246344421
2020-09-01 02:41:00,False,False,False,False,1.0076641258826482,1.006360672505274
