method,q,file,threshold,alarm_event_id,t_start,t_end,duration_samples,start_label,belongs_to_any_hit,is_false_alarm_event,too_early_overlap
F2,0.9,valve1/2.csv,39.14608638523968,1,972,1075,103,0,0,1,0
F2,0.9,valve1/3.csv,54.3859225516474,0,545,641,96,0,1,0,0
F2,0.9,valve1/3.csv,54.3859225516474,1,950,1005,55,1,1,0,0
F2,0.9,valve1/4.csv,34.94366836545489,0,489,677,188,0,0,1,1
F2,0.9,valve1/4.csv,34.94366836545489,1,1004,1081,77,0,0,1,0
F2,0.9,valve1/6.csv,56.36072683027998,0,630,676,46,1,1,0,0
F2,0.9,valve1/7.csv,90.91247966212471,0,584,753,169,1,1,0,0
F2,0.9,valve1/7.csv,90.91247966212471,1,1062,1094,32,0,0,1,0
F2,0.9,valve1/8.csv,185.97581419769944,0,615,647,32,1,1,0,0
F2,0.9,valve1/8.csv,185.97581419769944,1,969,1144,175,1,1,0,0
F2,0.9,valve1/9.csv,38.760864551340724,0,576,633,57,1,1,0,0
F2,0.9,valve1/9.csv,38.760864551340724,1,942,1020,78,1,1,0,0
F2,0.9,valve2/0.csv,63.24958343759358,0,801,844,43,1,1,0,0
F2,0.9,valve2/1.csv,226.05249608106047,0,603,695,92,1,1,0,0
F2,0.9,valve2/2.csv,46.00565361864792,0,507,590,83,0,1,0,0
F2,0.9,valve2/3.csv,42.66984886121861,0,555,992,437,0,1,0,0
F2,0.99,other/10.csv,269.4449094114696,0,777,819,42,1,1,0,0
F2,0.99,other/11.csv,1.4879934548644673,0,508,1190,682,0,0,1,1
F2,0.99,other/4.csv,1.354065056590808,0,489,1191,702,0,0,1,1
F2,0.99,other/5.csv,2.654558675957994,0,581,907,326,1,1,0,0
F2,0.99,other/6.csv,13.52307698000103,0,583,694,111,1,1,0,0
F2,0.99,other/6.csv,13.52307698000103,1,1003,1038,35,0,0,1,0
F2,0.99,other/7.csv,1.346382582398443,0,498,1090,592,0,0,1,1
F2,0.99,other/8.csv,1.2672783877276763,0,504,1147,643,0,0,1,1
F2,0.99,other/9.csv,228.9064325549971,0,626,847,221,1,1,0,0
F2,0.99,valve1/0.csv,226.34633952028895,0,810,928,118,1,1,0,0
F2,0.99,valve1/1.csv,270.99250717643446,0,816,916,100,1,1,0,0
F2,0.99,valve1/10.csv,240.17397572980954,0,1006,1073,67,0,0,1,0
F2,0.99,valve1/11.csv,62.43960014646848,0,938,977,39,1,1,0,0
F2,0.99,valve1/12.csv,75.15159741593966,0,583,661,78,1,1,0,0
F2,0.99,valve1/12.csv,75.15159741593966,1,983,1031,48,0,0,1,0
F2,0.99,valve1/13.csv,69.98575554155123,0,754,810,56,1,1,0,0
F2,0.99,valve1/14.csv,80.19580812521107,0,722,773,51,1,1,0,0
F2,0.99,valve1/14.csv,80.19580812521107,1,1098,1139,41,0,0,1,0
F2,0.99,valve1/15.csv,250.35894902349375,0,522,567,45,0,1,0,0
F2,0.99,valve1/3.csv,212.6217516066036,0,546,641,95,0,1,0,0
F2,0.99,valve1/3.csv,212.6217516066036,1,1142,1148,6,0,0,1,0
F2,0.99,valve1/4.csv,47.23299903329099,0,548,663,115,0,1,0,0
F2,0.99,valve1/4.csv,47.23299903329099,1,1011,1056,45,0,0,1,0
F2,0.99,valve1/7.csv,228.76118145103547,0,620,728,108,1,1,0,0
F2,0.99,valve1/7.csv,228.76118145103547,1,1045,1094,49,0,0,1,0
F2,0.99,valve1/8.csv,252.6057546131358,0,1042,1144,102,0,0,1,0
F2,0.99,valve1/9.csv,63.36907011321516,0,596,631,35,1,1,0,0
F2,0.99,valve2/2.csv,63.46054473304074,0,520,564,44,0,1,0,0
F2,0.99,valve2/3.csv,85.09195901965168,0,617,708,91,1,1,0,0
F2,0.995,other/10.csv,275.2713507997892,0,777,819,42,1,1,0,0
F2,0.995,other/11.csv,1.5600197136208966,0,508,1190,682,0,0,1,1
F2,0.995,other/4.csv,1.3781139572326895,0,489,1191,702,0,0,1,1
F2,0.995,other/5.csv,2.696741227518632,0,581,907,326,1,1,0,0
F2,0.995,other/6.csv,293.7491841501617,0,1128,1147,19,0,0,1,0
F2,0.995,other/7.csv,1.4163323801987497,0,498,535,37,0,0,1,0
F2,0.995,other/7.csv,1.4163323801987497,1,844,1090,246,1,1,0,0
F2,0.995,other/8.csv,1.285828260372003,0,504,1147,643,0,0,1,1
F2,0.995,other/9.csv,228.92443277651392,0,626,847,221,1,1,0,0
F2,0.995,valve1/0.csv,235.32885803238992,0,810,928,118,1,1,0,0
F2,0.995,valve1/10.csv,240.32680103554776,0,1006,1073,67,0,0,1,0
F2,0.995,valve1/11.csv,62.748275750092795,0,938,977,39,1,1,0,0
F2,0.995,valve1/12.csv,81.91812768399245,0,602,647,45,1,1,0,0
F2,0.995,valve1/13.csv,70.43328103864565,0,754,809,55,1,1,0,0
F2,0.995,valve1/14.csv,86.4229350426608,0,722,769,47,1,1,0,0
F2,0.995,valve1/14.csv,86.4229350426608,1,1099,1139,40,0,0,1,0
F2,0.995,valve1/3.csv,215.16709556340086,0,546,641,95,0,1,0,0
F2,0.995,valve1/3.csv,215.16709556340086,1,1142,1148,6,0,0,1,0
F2,0.995,valve1/4.csv,49.808802073166014,0,548,660,112,0,1,0,0
F2,0.995,valve1/4.csv,49.808802073166014,1,1011,1056,45,0,0,1,0
F2,0.995,valve1/7.csv,230.77504733969275,0,626,728,102,1,1,0,0
F2,0.995,valve1/7.csv,230.77504733969275,1,1045,1094,49,0,0,1,0
F2,0.995,valve1/8.csv,252.60806191380414,0,1042,1144,102,0,0,1,0
F2,0.995,valve1/9.csv,64.13977750826085,0,596,631,35,1,1,0,0
F2,0.995,valve2/2.csv,66.63579253497957,0,520,564,44,0,1,0,0
F2,0.999,other/10.csv,295.7193705454209,0,777,819,42,1,1,0,0
F2,0.999,other/11.csv,1.6215131857439966,0,527,1190,663,0,1,0,0
F2,0.999,other/4.csv,1.4829697611499302,0,489,1191,702,0,0,1,1
F2,0.999,other/5.csv,3.070115077851921,0,581,692,111,1,1,0,0
F2,0.999,other/5.csv,3.070115077851921,1,1001,1119,118,0,0,1,0
F2,0.999,other/6.csv,293.8090718795215,0,1128,1147,19,0,0,1,0
F2,0.999,other/7.csv,1.4509428678323457,0,498,535,37,0,0,1,0
F2,0.999,other/7.csv,1.4509428678323457,1,844,1090,246,1,1,0,0
F2,0.999,other/8.csv,1.3442656376927369,0,504,1147,643,0,0,1,1
F2,0.999,other/9.csv,463.68108707455895,0,665,832,167,1,1,0,0
F2,0.999,valve1/11.csv,63.6609023482539,0,938,977,39,1,1,0,0
F2,0.999,valve1/12.csv,84.58004267237598,0,602,647,45,1,1,0,0
F2,0.999,valve1/13.csv,73.01800862657734,0,754,809,55,1,1,0,0
F2,0.999,valve1/14.csv,92.2368572723108,0,722,764,42,1,1,0,0
F2,0.999,valve1/14.csv,92.2368572723108,1,1101,1139,38,0,0,1,0
F2,0.999,valve1/3.csv,215.19254136645,0,546,641,95,0,1,0,0
F2,0.999,valve1/3.csv,215.19254136645,1,1142,1148,6,0,0,1,0
F2,0.999,valve1/4.csv,53.70420519874693,0,571,660,89,0,1,0,0
F2,0.999,valve1/4.csv,53.70420519874693,1,1011,1053,42,0,0,1,0
F2,0.999,valve1/7.csv,231.14692719320288,0,626,728,102,1,1,0,0
F2,0.999,valve1/7.csv,231.14692719320288,1,1045,1094,49,0,0,1,0
F2,0.999,valve1/8.csv,252.62439611495498,0,1042,1144,102,0,0,1,0
F2,0.999,valve1/9.csv,65.12199693540343,0,596,631,35,1,1,0,0
F2,0.999,valve2/2.csv,66.68415188394374,0,520,564,44,0,1,0,0
F3,0.9,other/1.csv,1.111258738098319,0,489,628,139,0,0,1,1
F3,0.9,other/10.csv,1.4276763853322958,0,664,753,89,1,1,0,0
F3,0.9,other/11.csv,0.7975310806823672,0,489,542,53,0,0,1,0
F3,0.9,other/11.csv,0.7975310806823672,1,983,1049,66,1,1,0,0
F3,0.9,other/13.csv,1.0874504228910244,0,539,583,44,1,1,0,0
F3,0.9,other/14.csv,0.9770959951202868,0,490,575,85,0,0,1,1
F3,0.9,other/2.csv,1.6450178834579414,0,506,546,40,0,0,1,0
F3,0.9,other/3.csv,1.5251251464358946,0,489,539,50,0,0,1,0
F3,0.9,other/5.csv,0.9042632058841725,0,609,666,57,1,1,0,0
F3,0.9,other/5.csv,0.9042632058841725,1,996,1155,159,0,0,1,0
F3,0.9,other/6.csv,0.6385761941057431,0,533,767,234,0,1,0,0
F3,0.9,other/6.csv,0.6385761941057431,1,1076,1147,71,0,0,1,0
F3,0.9,other/7.csv,1.4820918099474034,0,860,905,45,1,1,0,0
F3,0.9,other/8.csv,1.206180491582436,0,673,738,65,1,1,0,0
F3,0.9,other/8.csv,1.206180491582436,1,1132,1147,15,0,0,1,0
F3,0.9,other/9.csv,1.023186918121415,0,639,777,138,1,1,0,0
F3,0.9,valve1/0.csv,1.4851778157646915,0,676,754,78,1,1,0,0
F3,0.9,valve1/0.csv,1.4851778157646915,1,1075,1120,45,0,0,1,0
F3,0.9,valve1/1.csv,1.8294133825928787,0,921,983,62,1,1,0,0
F3,0.9,valve1/10.csv,1.2942593717764264,0,588,788,200,1,1,0,0
F3,0.9,valve1/12.csv,1.9440807016424553,0,489,579,90,0,0,1,1
F3,0.9,valve1/13.csv,1.5781485264577644,0,981,1032,51,0,0,1,0
F3,0.9,valve1/14.csv,1.3968120064343057,0,598,665,67,1,1,0,0
F3,0.9,valve1/15.csv,1.338682599381099,0,547,805,258,0,1,0,0
F3,0.9,valve1/8.csv,1.1899991873033813,0,635,674,39,1,1,0,0
F3,0.9,valve1/9.csv,1.2541249901368845,0,508,563,55,0,0,1,0
F3,0.9,valve1/9.csv,1.2541249901368845,1,985,1034,49,0,0,1,0
F3,0.9,valve2/0.csv,1.3367679061559123,0,831,927,96,1,1,0,0
F3,0.9,valve2/1.csv,1.8551130415965114,0,907,963,56,0,0,1,0
F3,0.9,valve2/2.csv,1.5745789734715694,0,489,530,41,0,0,1,0
F3,0.99,other/1.csv,1.6712093564830446,0,489,616,127,0,0,1,1
F3,0.99,other/10.csv,1.8002995482054258,0,670,725,55,1,1,0,0
F3,0.99,other/14.csv,1.4325588632065838,0,506,567,61,0,0,1,0
F3,0.99,other/3.csv,1.6602408622983398,0,489,537,48,0,0,1,0
F3,0.99,other/5.csv,0.9868228713818928,0,615,665,50,1,1,0,0
F3,0.99,other/5.csv,0.9868228713818928,1,998,1155,157,0,0,1,0
F3,0.99,other/6.csv,0.7195250073544086,0,535,764,229,0,1,0,0
F3,0.99,other/6.csv,0.7195250073544086,1,1074,1147,73,0,0,1,0
F3,0.99,other/7.csv,1.8192929772905633,0,865,902,37,1,1,0,0
F3,0.99,other/8.csv,1.912949805068906,0,1143,1147,4,0,0,1,0
F3,0.99,valve1/0.csv,2.0298656922945075,0,689,747,58,1,1,0,0
F3,0.99,valve1/10.csv,1.5868503119977315,0,597,671,74,1,1,0,0
F3,0.99,valve1/12.csv,2.6862048891120534,0,489,554,65,0,0,1,0
F3,0.99,valve1/13.csv,1.8502602261994525,0,1128,1140,12,0,0,1,0
F3,0.99,valve1/14.csv,2.081943904247952,0,903,945,42,1,1,0,0
F3,0.99,valve1/15.csv,1.431559344671794,0,549,731,182,0,1,0,0
F3,0.99,valve1/8.csv,1.2845780466042562,0,732,843,111,1,1,0,0
F3,0.99,valve1/9.csv,1.9870137266369647,0,766,812,46,1,1,0,0
F3,0.99,valve1/9.csv,1.9870137266369647,1,1121,1148,27,0,0,1,0
F3,0.99,valve2/0.csv,1.764344881620797,0,838,913,75,1,1,0,0
F3,0.99,valve2/1.csv,2.387891350807322,0,916,958,42,0,0,1,0
F3,0.995,other/1.csv,1.699900973678592,0,489,615,126,0,0,1,1
F3,0.995,other/10.csv,1.8159744980050772,0,671,725,54,1,1,0,0
F3,0.995,other/14.csv,1.4660120898122602,0,507,566,59,0,0,1,0
F3,0.995,other/3.csv,1.7125524996472692,0,489,536,47,0,0,1,0
F3,0.995,other/5.csv,0.9951815043866659,0,623,665,42,1,1,0,0
F3,0.995,other/5.csv,0.9951815043866659,1,998,1155,157,0,0,1,0
F3,0.995,other/6.csv,0.7283373314029961,0,535,764,229,0,1,0,0
F3,0.995,other/6.csv,0.7283373314029961,1,1074,1147,73,0,0,1,0
F3,0.995,other/7.csv,1.8365092471319784,0,865,902,37,1,1,0,0
F3,0.995,other/8.csv,1.9383021984849873,0,1143,1147,4,0,0,1,0
F3,0.995,valve1/0.csv,2.0451387555104175,0,689,747,58,1,1,0,0
F3,0.995,valve1/10.csv,1.5983759181326678,0,598,670,72,1,1,0,0
F3,0.995,valve1/12.csv,2.747248644574404,0,489,553,64,0,0,1,0
F3,0.995,valve1/13.csv,1.8562845744827061,0,1128,1140,12,0,0,1,0
F3,0.995,valve1/14.csv,2.1395988158628176,0,904,945,41,1,1,0,0
F3,0.995,valve1/15.csv,1.4399578895731973,0,549,731,182,0,1,0,0
F3,0.995,valve1/8.csv,1.2924994067716817,0,919,974,55,1,1,0,0
F3,0.995,valve1/9.csv,2.0031395446297773,0,766,811,45,1,1,0,0
F3,0.995,valve1/9.csv,2.0031395446297773,1,1120,1148,28,0,0,1,0
F3,0.995,valve2/0.csv,1.777202480064101,0,839,913,74,1,1,0,0
F3,0.995,valve2/1.csv,2.40831806513459,0,916,958,42,0,0,1,0
F3,0.999,other/1.csv,1.710392247960145,0,489,615,126,0,0,1,1
F3,0.999,other/10.csv,1.8247542926508793,0,671,725,54,1,1,0,0
F3,0.999,other/14.csv,1.4788132250250798,0,507,566,59,0,0,1,0
F3,0.999,other/3.csv,1.7272347631926603,0,489,536,47,0,0,1,0
F3,0.999,other/5.csv,1.0023279470500959,0,629,665,36,1,1,0,0
F3,0.999,other/5.csv,1.0023279470500959,1,998,1155,157,0,0,1,0
F3,0.999,other/6.csv,0.7336912426752851,0,535,764,229,0,1,0,0
F3,0.999,other/6.csv,0.7336912426752851,1,1074,1147,73,0,0,1,0
F3,0.999,other/7.csv,1.8407260308247515,0,865,902,37,1,1,0,0
F3,0.999,other/8.csv,1.9662560517560488,0,1144,1147,3,0,0,1,0
F3,0.999,valve1/0.csv,2.0599201562362524,0,689,746,57,1,1,0,0
F3,0.999,valve1/10.csv,1.6320565810921284,0,599,670,71,1,1,0,0
F3,0.999,valve1/12.csv,2.82764033408247,0,489,551,62,0,0,1,0
F3,0.999,valve1/13.csv,1.867491357986506,0,1129,1140,11,0,0,1,0
F3,0.999,valve1/15.csv,1.4468062786427687,0,550,730,180,0,1,0,0
F3,0.999,valve1/8.csv,1.338200104330254,0,922,972,50,1,1,0,0
F3,0.999,valve1/9.csv,2.039875619975519,0,767,811,44,1,1,0,0
F3,0.999,valve1/9.csv,2.039875619975519,1,1120,1148,28,0,0,1,0
F3,0.999,valve2/0.csv,1.782946545261322,0,839,913,74,1,1,0,0
F3,0.999,valve2/1.csv,2.414663493189845,0,916,958,42,0,0,1,0
