告警起点,告警结束,持续分钟,峰值分数,诊断,建议窗口,优先级
2020-03-21 03:08:00,2020-03-21 03:29:00,21,12.45,空气泄漏（官方四事件均为该模式，单模式）,2020-03-23 09:50:00,P1-紧急
2020-03-22 00:58:00,2020-03-22 01:37:00,39,6.68,空气泄漏（官方四事件均为该模式，单模式）,2020-03-23 09:50:00,P2-计划
2020-03-24 10:19:00,2020-03-24 10:38:00,19,5.08,空气泄漏（官方四事件均为该模式，单模式）,2020-03-28 08:50:00,P2-计划
2020-03-24 12:48:00,2020-03-24 13:55:00,67,7.98,空气泄漏（官方四事件均为该模式，单模式）,2020-03-28 08:50:00,P1-紧急
2020-03-27 08:26:00,2020-03-27 15:37:00,431,4.95,空气泄漏（官方四事件均为该模式，单模式）,2020-03-28 08:50:00,P2-计划
2020-03-28 08:28:00,2020-03-28 23:45:00,917,12.92,空气泄漏（官方四事件均为该模式，单模式）,2020-03-28 08:50:00,P1-紧急
2020-03-30 07:37:00,2020-03-30 07:52:00,15,18.2,空气泄漏（官方四事件均为该模式，单模式）,2020-04-01 13:16:00,P1-紧急
2020-03-30 11:21:00,2020-03-30 11:46:00,25,7.56,空气泄漏（官方四事件均为该模式，单模式）,2020-04-01 13:16:00,P1-紧急
2020-04-02 10:03:00,2020-04-02 10:21:00,18,14.27,空气泄漏（官方四事件均为该模式，单模式）,2020-04-02 11:23:00,P1-紧急
2020-04-04 02:36:00,2020-04-04 04:21:00,105,18.04,空气泄漏（官方四事件均为该模式，单模式）,2020-04-06 07:27:00,P1-紧急
2020-04-06 09:59:00,2020-04-06 10:18:00,19,8.5,空气泄漏（官方四事件均为该模式，单模式）,2020-04-06 10:54:00,P1-紧急
2020-04-06 11:31:00,2020-04-06 14:19:00,168,19.57,空气泄漏（官方四事件均为该模式，单模式）,2020-04-06 12:00:00,P1-紧急
2020-04-07 03:38:00,2020-04-07 04:07:00,29,10.41,空气泄漏（官方四事件均为该模式，单模式）,2020-04-07 10:43:00,P1-紧急
2020-04-07 10:29:00,2020-04-07 11:26:00,57,3.24,空气泄漏（官方四事件均为该模式，单模式）,2020-04-07 10:43:00,P3-观察
2020-04-07 20:53:00,2020-04-07 21:19:00,26,12.29,空气泄漏（官方四事件均为该模式，单模式）,2020-04-08 19:30:00,P1-紧急
2020-04-09 04:54:00,2020-04-09 05:40:00,46,6.68,空气泄漏（官方四事件均为该模式，单模式）,2020-04-11 01:03:00,P2-计划
2020-04-13 16:43:00,2020-04-13 17:37:00,54,6.61,空气泄漏（官方四事件均为该模式，单模式）,2020-04-13 19:28:00,P2-计划
2020-04-13 18:33:00,2020-04-14 05:39:00,666,7.2,空气泄漏（官方四事件均为该模式，单模式）,2020-04-13 19:28:00,P1-紧急
2020-04-15 00:59:00,2020-04-15 01:28:00,29,6.84,空气泄漏（官方四事件均为该模式，单模式）,2020-04-15 01:16:00,P2-计划
2020-04-16 00:55:00,2020-04-16 02:52:00,117,6.81,空气泄漏（官方四事件均为该模式，单模式）,2020-04-16 00:57:00,P2-计划
2020-04-17 00:43:00,2020-04-17 05:31:00,288,11.0,空气泄漏（官方四事件均为该模式，单模式）,2020-04-17 00:44:00,P1-紧急
2020-04-19 02:13:00,2020-04-19 03:08:00,55,16.9,空气泄漏（官方四事件均为该模式，单模式）,2020-04-21 01:17:00,P1-紧急
2020-04-19 11:24:00,2020-04-19 14:10:00,166,14.93,空气泄漏（官方四事件均为该模式，单模式）,2020-04-21 01:17:00,P1-紧急
2020-04-20 04:54:00,2020-04-21 00:10:00,1156,22.36,空气泄漏（官方四事件均为该模式，单模式）,2020-04-21 01:17:00,P1-紧急
2020-04-22 00:21:00,2020-04-22 00:34:00,13,3.02,空气泄漏（官方四事件均为该模式，单模式）,2020-04-22 00:24:00,P3-观察
2020-04-25 00:38:00,2020-04-27 01:56:00,2958,17.85,空气泄漏（官方四事件均为该模式，单模式）,2020-04-27 19:33:00,P1-紧急
2020-04-27 22:55:00,2020-04-27 23:15:00,20,3.23,空气泄漏（官方四事件均为该模式，单模式）,2020-04-27 23:36:00,P3-观察
2020-04-29 00:31:00,2020-04-29 00:44:00,13,3.69,空气泄漏（官方四事件均为该模式，单模式）,2020-04-29 00:34:00,P3-观察
2020-04-29 18:52:00,2020-04-29 19:17:00,25,5.27,空气泄漏（官方四事件均为该模式，单模式）,2020-04-30 00:28:00,P2-计划
2020-04-30 23:38:00,2020-05-01 21:55:00,1337,13.34,空气泄漏（官方四事件均为该模式，单模式）,2020-04-30 23:39:00,P1-紧急
2020-05-02 11:41:00,2020-05-02 19:25:00,464,4.26,空气泄漏（官方四事件均为该模式，单模式）,2020-05-04 00:40:00,P3-观察
2020-05-03 10:24:00,2020-05-03 13:19:00,175,4.33,空气泄漏（官方四事件均为该模式，单模式）,2020-05-04 00:40:00,P3-观察
2020-05-05 04:30:00,2020-05-05 04:43:00,13,3.36,空气泄漏（官方四事件均为该模式，单模式）,2020-05-06 00:56:00,P3-观察
2020-05-10 22:52:00,2020-05-10 23:11:00,19,10.5,空气泄漏（官方四事件均为该模式，单模式）,2020-05-10 23:14:00,P1-紧急
2020-05-11 23:04:00,2020-05-11 23:50:00,46,3.48,空气泄漏（官方四事件均为该模式，单模式）,2020-05-11 23:40:00,P3-观察
2020-05-13 14:14:00,2020-05-14 00:10:00,596,4.69,空气泄漏（官方四事件均为该模式，单模式）,2020-05-14 01:18:00,P3-观察
2020-05-14 23:00:00,2020-05-14 23:14:00,14,3.22,空气泄漏（官方四事件均为该模式，单模式）,2020-05-14 23:37:00,P3-观察
2020-05-15 13:34:00,2020-05-15 13:53:00,19,9.42,空气泄漏（官方四事件均为该模式，单模式）,2020-05-16 23:38:00,P1-紧急
2020-05-15 20:43:00,2020-05-15 21:10:00,27,10.56,空气泄漏（官方四事件均为该模式，单模式）,2020-05-16 23:38:00,P1-紧急
2020-05-16 09:31:00,2020-05-16 10:08:00,37,5.58,空气泄漏（官方四事件均为该模式，单模式）,2020-05-16 23:38:00,P2-计划
2020-05-16 10:49:00,2020-05-16 14:19:00,210,5.6,空气泄漏（官方四事件均为该模式，单模式）,2020-05-16 23:38:00,P2-计划
2020-05-17 07:21:00,2020-05-17 08:30:00,69,5.51,空气泄漏（官方四事件均为该模式，单模式）,2020-05-17 11:03:00,P2-计划
2020-05-17 09:04:00,2020-05-18 04:58:00,1194,15.61,空气泄漏（官方四事件均为该模式，单模式）,2020-05-17 11:03:00,P1-紧急
2020-05-18 07:08:00,2020-05-19 07:21:00,1453,18.22,空气泄漏（官方四事件均为该模式，单模式）,2020-05-19 01:42:00,P1-紧急
2020-05-19 09:32:00,2020-05-19 10:16:00,44,15.62,空气泄漏（官方四事件均为该模式，单模式）,2020-05-20 19:49:00,P1-紧急
2020-05-19 10:55:00,2020-05-19 20:52:00,597,15.62,空气泄漏（官方四事件均为该模式，单模式）,2020-05-20 19:49:00,P1-紧急
2020-05-21 05:59:00,2020-05-21 07:58:00,119,16.7,空气泄漏（官方四事件均为该模式，单模式）,2020-05-22 19:50:00,P1-紧急
2020-05-21 17:18:00,2020-05-22 00:33:00,435,16.65,空气泄漏（官方四事件均为该模式，单模式）,2020-05-22 19:50:00,P1-紧急
2020-05-23 00:08:00,2020-05-23 00:53:00,45,6.31,空气泄漏（官方四事件均为该模式，单模式）,2020-05-23 00:10:00,P2-计划
2020-05-23 14:48:00,2020-05-23 18:14:00,206,16.17,空气泄漏（官方四事件均为该模式，单模式）,2020-05-24 00:40:00,P1-紧急
2020-05-25 23:53:00,2020-05-26 06:20:00,387,12.76,空气泄漏（官方四事件均为该模式，单模式）,2020-05-26 00:04:00,P1-紧急
2020-05-29 21:48:00,2020-05-29 22:00:00,12,2.41,空气泄漏（官方四事件均为该模式，单模式）,2020-05-31 01:00:00,P3-观察
2020-05-29 23:03:00,2020-05-29 23:25:00,22,4.14,空气泄漏（官方四事件均为该模式，单模式）,2020-05-31 01:00:00,P3-观察
2020-05-30 06:13:00,2020-05-30 15:03:00,530,16.02,空气泄漏（官方四事件均为该模式，单模式）,2020-05-31 01:00:00,P1-紧急
2020-05-30 21:03:00,2020-05-30 23:05:00,122,15.96,空气泄漏（官方四事件均为该模式，单模式）,2020-05-31 01:00:00,P1-紧急
2020-05-31 00:26:00,2020-06-01 15:03:00,2317,16.53,空气泄漏（官方四事件均为该模式，单模式）,2020-05-31 01:00:00,P1-紧急
2020-06-01 15:50:00,2020-06-01 17:47:00,117,15.78,空气泄漏（官方四事件均为该模式，单模式）,2020-06-02 09:43:00,P1-紧急
2020-06-01 18:46:00,2020-06-02 05:31:00,645,16.2,空气泄漏（官方四事件均为该模式，单模式）,2020-06-02 09:43:00,P1-紧急
2020-06-02 09:20:00,2020-06-02 09:33:00,13,2.48,空气泄漏（官方四事件均为该模式，单模式）,2020-06-02 09:43:00,P3-观察
2020-06-02 19:09:00,2020-06-03 10:17:00,908,21.03,空气泄漏（官方四事件均为该模式，单模式）,2020-06-03 19:20:00,P1-紧急
2020-06-03 12:00:00,2020-06-03 12:12:00,12,2.41,空气泄漏（官方四事件均为该模式，单模式）,2020-06-03 19:20:00,P3-观察
2020-06-03 14:14:00,2020-06-04 05:54:00,940,16.17,空气泄漏（官方四事件均为该模式，单模式）,2020-06-03 19:20:00,P1-紧急
2020-06-04 20:25:00,2020-06-05 05:57:00,572,7.21,空气泄漏（官方四事件均为该模式，单模式）,2020-06-06 15:56:00,P1-紧急
2020-06-06 19:46:00,2020-06-06 20:06:00,20,4.62,空气泄漏（官方四事件均为该模式，单模式）,2020-06-07 02:14:00,P3-观察
2020-06-07 03:09:00,2020-06-07 03:24:00,15,3.99,空气泄漏（官方四事件均为该模式，单模式）,2020-06-07 14:20:00,P3-观察
2020-06-08 11:52:00,2020-06-08 12:34:00,42,10.65,空气泄漏（官方四事件均为该模式，单模式）,2020-06-08 13:08:00,P1-紧急
2020-06-08 13:44:00,2020-06-08 14:21:00,37,22.97,空气泄漏（官方四事件均为该模式，单模式）,2020-06-09 20:04:00,P1-紧急
2020-06-08 16:12:00,2020-06-08 20:11:00,239,22.25,空气泄漏（官方四事件均为该模式，单模式）,2020-06-09 20:04:00,P1-紧急
2020-06-10 01:04:00,2020-06-10 03:14:00,130,22.33,空气泄漏（官方四事件均为该模式，单模式）,2020-06-10 22:58:00,P1-紧急
2020-06-10 08:57:00,2020-06-10 09:36:00,39,22.34,空气泄漏（官方四事件均为该模式，单模式）,2020-06-10 22:58:00,P1-紧急
2020-06-11 05:15:00,2020-06-11 06:07:00,52,12.79,空气泄漏（官方四事件均为该模式，单模式）,2020-06-11 23:48:00,P1-紧急
2020-06-12 01:05:00,2020-06-12 01:36:00,31,17.17,空气泄漏（官方四事件均为该模式，单模式）,2020-06-12 01:51:00,P1-紧急
2020-06-13 09:07:00,2020-06-13 10:53:00,106,17.25,空气泄漏（官方四事件均为该模式，单模式）,2020-06-14 23:55:00,P1-紧急
2020-06-13 12:59:00,2020-06-13 13:37:00,38,22.28,空气泄漏（官方四事件均为该模式，单模式）,2020-06-14 23:55:00,P1-紧急
2020-06-13 14:30:00,2020-06-13 14:48:00,18,9.66,空气泄漏（官方四事件均为该模式，单模式）,2020-06-14 23:55:00,P1-紧急
2020-06-14 15:57:00,2020-06-14 16:14:00,17,2.58,空气泄漏（官方四事件均为该模式，单模式）,2020-06-14 23:55:00,P3-观察
2020-06-14 20:18:00,2020-06-14 21:42:00,84,17.39,空气泄漏（官方四事件均为该模式，单模式）,2020-06-14 23:55:00,P1-紧急
2020-06-14 23:25:00,2020-06-15 01:13:00,108,9.68,空气泄漏（官方四事件均为该模式，单模式）,2020-06-14 23:55:00,P1-紧急
2020-06-15 17:43:00,2020-06-15 18:21:00,38,8.53,空气泄漏（官方四事件均为该模式，单模式）,2020-06-16 19:39:00,P1-紧急
2020-06-16 17:18:00,2020-06-16 17:35:00,17,2.66,空气泄漏（官方四事件均为该模式，单模式）,2020-06-16 19:39:00,P3-观察
2020-06-16 21:09:00,2020-06-16 23:02:00,113,22.68,空气泄漏（官方四事件均为该模式，单模式）,2020-06-17 09:41:00,P1-紧急
2020-06-17 08:09:00,2020-06-17 08:20:00,11,2.42,空气泄漏（官方四事件均为该模式，单模式）,2020-06-17 09:41:00,P3-观察
2020-06-17 12:25:00,2020-06-19 01:47:00,2242,22.73,空气泄漏（官方四事件均为该模式，单模式）,2020-06-17 15:36:00,P1-紧急
2020-06-19 05:20:00,2020-06-19 06:19:00,59,17.73,空气泄漏（官方四事件均为该模式，单模式）,2020-06-19 23:47:00,P1-紧急
2020-06-19 06:54:00,2020-06-19 07:06:00,12,3.43,空气泄漏（官方四事件均为该模式，单模式）,2020-06-19 23:47:00,P3-观察
2020-06-19 10:37:00,2020-06-19 10:54:00,17,2.59,空气泄漏（官方四事件均为该模式，单模式）,2020-06-19 23:47:00,P3-观察
2020-06-19 12:28:00,2020-06-19 13:16:00,48,12.92,空气泄漏（官方四事件均为该模式，单模式）,2020-06-19 23:47:00,P1-紧急
2020-06-19 14:23:00,2020-06-19 14:34:00,11,2.63,空气泄漏（官方四事件均为该模式，单模式）,2020-06-19 23:47:00,P3-观察
2020-06-19 18:03:00,2020-06-19 19:04:00,61,17.52,空气泄漏（官方四事件均为该模式，单模式）,2020-06-19 23:47:00,P1-紧急
2020-06-21 04:29:00,2020-06-21 04:52:00,23,2.99,空气泄漏（官方四事件均为该模式，单模式）,2020-06-22 00:35:00,P3-观察
2020-06-25 05:17:00,2020-06-25 05:42:00,25,5.95,空气泄漏（官方四事件均为该模式，单模式）,2020-06-27 08:07:00,P2-计划
2020-06-25 19:43:00,2020-06-25 20:02:00,19,2.45,空气泄漏（官方四事件均为该模式，单模式）,2020-06-27 08:07:00,P3-观察
2020-06-28 23:11:00,2020-06-28 23:53:00,42,12.62,空气泄漏（官方四事件均为该模式，单模式）,2020-07-03 00:43:00,P1-紧急
2020-07-03 00:39:00,2020-07-03 01:40:00,61,4.28,空气泄漏（官方四事件均为该模式，单模式）,2020-07-03 00:43:00,P3-观察
2020-07-03 03:33:00,2020-07-03 03:48:00,15,4.52,空气泄漏（官方四事件均为该模式，单模式）,2020-07-06 07:13:00,P3-观察
2020-07-05 10:51:00,2020-07-05 18:08:00,437,7.96,空气泄漏（官方四事件均为该模式，单模式）,2020-07-06 07:13:00,P1-紧急
2020-07-06 15:30:00,2020-07-06 16:21:00,51,9.26,空气泄漏（官方四事件均为该模式，单模式）,2020-07-07 07:12:00,P1-紧急
2020-07-06 18:15:00,2020-07-06 23:52:00,337,5.63,空气泄漏（官方四事件均为该模式，单模式）,2020-07-07 07:12:00,P2-计划
2020-07-07 11:10:00,2020-07-07 12:40:00,90,13.16,空气泄漏（官方四事件均为该模式，单模式）,2020-07-07 15:25:00,P1-紧急
2020-07-08 15:24:00,2020-07-08 15:53:00,29,21.19,空气泄漏（官方四事件均为该模式，单模式）,2020-07-09 20:02:00,P1-紧急
2020-07-08 17:54:00,2020-07-08 19:58:00,124,20.81,空气泄漏（官方四事件均为该模式，单模式）,2020-07-09 20:02:00,P1-紧急
2020-07-08 21:38:00,2020-07-08 21:55:00,17,21.23,空气泄漏（官方四事件均为该模式，单模式）,2020-07-09 20:02:00,P1-紧急
2020-07-09 23:23:00,2020-07-09 23:53:00,30,4.08,空气泄漏（官方四事件均为该模式，单模式）,2020-07-10 00:29:00,P3-观察
2020-07-10 23:45:00,2020-07-11 00:00:00,15,4.24,空气泄漏（官方四事件均为该模式，单模式）,2020-07-11 00:31:00,P3-观察
2020-07-11 05:36:00,2020-07-11 06:27:00,51,6.37,空气泄漏（官方四事件均为该模式，单模式）,2020-07-11 19:35:00,P2-计划
2020-07-12 04:40:00,2020-07-12 05:43:00,63,6.85,空气泄漏（官方四事件均为该模式，单模式）,2020-07-12 19:57:00,P2-计划
2020-07-13 09:30:00,2020-07-13 11:57:00,147,4.86,空气泄漏（官方四事件均为该模式，单模式）,2020-07-13 12:50:00,P2-计划
2020-07-14 02:04:00,2020-07-14 03:06:00,62,20.86,空气泄漏（官方四事件均为该模式，单模式）,2020-07-14 07:17:00,P1-紧急
2020-07-15 14:50:00,2020-07-15 21:02:00,372,5.17,空气泄漏（官方四事件均为该模式，单模式）,2020-07-17 00:59:00,P2-计划
2020-07-16 15:36:00,2020-07-16 17:27:00,111,4.4,空气泄漏（官方四事件均为该模式，单模式）,2020-07-17 00:59:00,P3-观察
2020-07-17 00:57:00,2020-07-17 06:02:00,305,23.18,空气泄漏（官方四事件均为该模式，单模式）,2020-07-17 00:59:00,P1-紧急
2020-07-17 07:29:00,2020-07-17 08:25:00,56,5.31,空气泄漏（官方四事件均为该模式，单模式）,2020-07-21 13:42:00,P2-计划
2020-07-17 09:27:00,2020-07-17 09:57:00,30,5.48,空气泄漏（官方四事件均为该模式，单模式）,2020-07-21 13:42:00,P2-计划
2020-07-18 01:35:00,2020-07-18 02:18:00,43,21.13,空气泄漏（官方四事件均为该模式，单模式）,2020-07-21 13:42:00,P1-紧急
2020-07-18 10:55:00,2020-07-18 11:10:00,15,4.06,空气泄漏（官方四事件均为该模式，单模式）,2020-07-21 13:42:00,P3-观察
2020-07-20 09:48:00,2020-07-20 12:34:00,166,6.45,空气泄漏（官方四事件均为该模式，单模式）,2020-07-21 13:42:00,P2-计划
2020-07-21 22:10:00,2020-07-21 22:34:00,24,4.39,空气泄漏（官方四事件均为该模式，单模式）,2020-07-23 20:03:00,P3-观察
2020-07-22 06:48:00,2020-07-22 15:06:00,498,5.96,空气泄漏（官方四事件均为该模式，单模式）,2020-07-23 20:03:00,P2-计划
2020-07-24 01:04:00,2020-07-24 02:15:00,71,6.53,空气泄漏（官方四事件均为该模式，单模式）,2020-07-24 19:46:00,P2-计划
2020-07-25 02:49:00,2020-07-25 03:59:00,70,4.58,空气泄漏（官方四事件均为该模式，单模式）,2020-07-25 19:21:00,P3-观察
2020-07-26 04:44:00,2020-07-26 05:24:00,40,4.38,空气泄漏（官方四事件均为该模式，单模式）,2020-07-26 22:07:00,P3-观察
2020-07-27 03:40:00,2020-07-27 04:39:00,59,7.24,空气泄漏（官方四事件均为该模式，单模式）,2020-07-27 23:49:00,P1-紧急
2020-07-28 03:39:00,2020-07-28 04:02:00,23,20.64,空气泄漏（官方四事件均为该模式，单模式）,2020-07-28 20:21:00,P1-紧急
2020-07-28 22:59:00,2020-07-28 23:14:00,15,4.52,空气泄漏（官方四事件均为该模式，单模式）,2020-07-29 02:30:00,P3-观察
2020-07-29 05:07:00,2020-07-29 05:50:00,43,3.54,空气泄漏（官方四事件均为该模式，单模式）,2020-07-30 19:50:00,P3-观察
2020-07-30 23:31:00,2020-07-31 01:17:00,106,4.39,空气泄漏（官方四事件均为该模式，单模式）,2020-07-30 23:41:00,P3-观察
