告警起点,告警结束,持续分钟,峰值分数,结束分数,趋势斜率每分,上升,RUL估计小时
2020-03-27 08:26:00,2020-03-27 15:37:00,431,4.95,1.26,0.0021,False,
2020-03-28 08:28:00,2020-03-28 23:45:00,917,12.92,1.43,0.0065,False,
2020-03-30 07:37:00,2020-03-30 07:52:00,15,18.2,0.78,-0.3286,False,
2020-03-30 11:21:00,2020-03-30 11:46:00,25,7.56,1.76,-0.0019,False,
2020-04-02 10:03:00,2020-04-02 10:21:00,18,14.27,1.29,-0.6106,False,
2020-04-04 02:36:00,2020-04-04 04:21:00,105,18.04,1.73,-0.011,False,
2020-04-06 09:59:00,2020-04-06 10:18:00,19,8.5,1.35,0.0037,False,
2020-04-06 11:31:00,2020-04-06 14:19:00,168,19.57,1.86,0.0307,False,
2020-04-07 03:38:00,2020-04-07 04:07:00,29,10.41,0.45,-0.0009,False,
2020-04-07 10:29:00,2020-04-07 11:26:00,57,3.24,1.21,0.0015,False,
2020-04-07 20:53:00,2020-04-07 21:19:00,26,12.29,0.4,0.0016,False,
2020-04-09 04:54:00,2020-04-09 05:40:00,46,6.68,1.72,-0.0422,False,
2020-04-13 16:43:00,2020-04-13 17:37:00,54,6.61,1.56,-0.052,False,
2020-04-13 18:33:00,2020-04-14 05:39:00,666,7.2,1.59,-0.0013,False,
2020-04-15 00:59:00,2020-04-15 01:28:00,29,6.84,0.9,0.0136,False,
2020-04-16 00:55:00,2020-04-16 02:52:00,117,6.81,0.76,0.0017,False,
2020-04-17 00:43:00,2020-04-17 05:31:00,288,11.0,1.43,0.0026,False,
2020-04-19 02:13:00,2020-04-19 03:08:00,55,16.9,0.65,0.0035,False,
2020-04-19 11:24:00,2020-04-19 14:10:00,166,14.93,1.69,0.0032,False,
2020-04-20 04:54:00,2020-04-21 00:10:00,1156,22.36,1.31,0.0143,False,
2020-04-22 00:21:00,2020-04-22 00:34:00,13,3.02,1.75,0.0124,False,
2020-04-25 00:38:00,2020-04-27 01:56:00,2958,17.85,1.08,0.0177,False,
2020-04-27 22:55:00,2020-04-27 23:15:00,20,3.23,1.56,0.005,False,
2020-04-29 00:31:00,2020-04-29 00:44:00,13,3.69,1.37,0.0132,False,
2020-04-29 18:52:00,2020-04-29 19:17:00,25,5.27,1.73,0.001,False,
2020-04-30 23:38:00,2020-05-01 21:55:00,1337,13.34,0.75,-0.293,False,
2020-05-02 11:41:00,2020-05-02 19:25:00,464,4.26,0.75,0.0016,False,
2020-05-03 10:24:00,2020-05-03 13:19:00,175,4.33,1.84,0.0028,False,
2020-05-05 04:30:00,2020-05-05 04:43:00,13,3.36,1.56,0.0072,False,
2020-05-10 22:52:00,2020-05-10 23:11:00,19,10.5,1.45,-0.6197,False,
2020-05-11 23:04:00,2020-05-11 23:50:00,46,3.48,1.38,0.0058,False,
2020-05-13 14:14:00,2020-05-14 00:10:00,596,4.69,0.88,0.0038,False,
2020-05-14 23:00:00,2020-05-14 23:14:00,14,3.22,1.67,0.0041,False,
2020-05-15 13:34:00,2020-05-15 13:53:00,19,9.42,1.36,0.003,False,
2020-05-15 20:43:00,2020-05-15 21:10:00,27,10.56,0.57,0.0009,False,
2020-05-16 09:31:00,2020-05-16 10:08:00,37,5.58,0.88,0.003,False,
2020-05-16 10:49:00,2020-05-16 14:19:00,210,5.6,1.2,0.0034,False,
2020-05-17 07:21:00,2020-05-17 08:30:00,69,5.51,1.26,0.0017,False,
2020-05-17 09:04:00,2020-05-18 04:58:00,1194,15.61,0.93,0.0001,False,
2020-05-18 07:08:00,2020-05-19 07:21:00,1453,18.22,1.77,0.0014,False,
2020-05-19 09:32:00,2020-05-19 10:16:00,44,15.62,1.37,0.0054,False,
2020-05-19 10:55:00,2020-05-19 20:52:00,597,15.62,1.84,0.0001,False,
2020-05-21 05:59:00,2020-05-21 07:58:00,119,16.7,1.06,-0.0004,False,
2020-05-21 17:18:00,2020-05-22 00:33:00,435,16.65,1.19,-0.0008,False,
2020-05-23 00:08:00,2020-05-23 00:53:00,45,6.31,0.64,-0.0076,False,
2020-05-23 14:48:00,2020-05-23 18:14:00,206,16.17,1.5,0.0011,False,
2020-05-25 23:53:00,2020-05-26 06:20:00,387,12.76,0.32,0.0037,False,
2020-05-29 21:48:00,2020-05-29 22:00:00,12,2.41,1.35,0.0007,False,
2020-05-29 23:03:00,2020-05-29 23:25:00,22,4.14,0.39,-0.0003,False,
2020-05-30 06:13:00,2020-05-30 15:03:00,530,16.02,1.43,0.0041,False,
2020-05-30 21:03:00,2020-05-30 23:05:00,122,15.96,1.35,0.0006,False,
2020-05-31 00:26:00,2020-06-01 15:03:00,2317,16.53,1.64,-0.0,False,
2020-06-01 15:50:00,2020-06-01 17:47:00,117,15.78,1.44,-0.0009,False,
2020-06-01 18:46:00,2020-06-02 05:31:00,645,16.2,0.87,0.0001,False,
2020-06-02 09:20:00,2020-06-02 09:33:00,13,2.48,1.86,-0.0011,False,
2020-06-02 19:09:00,2020-06-03 10:17:00,908,21.03,1.1,-0.0063,False,
2020-06-03 12:00:00,2020-06-03 12:12:00,12,2.41,1.13,-0.0022,False,
2020-06-03 14:14:00,2020-06-04 05:54:00,940,16.17,1.43,-0.0001,False,
2020-06-04 20:25:00,2020-06-05 05:57:00,572,7.21,1.78,0.0005,False,
2020-06-06 19:46:00,2020-06-06 20:06:00,20,4.62,0.93,0.0098,False,
2020-06-07 03:09:00,2020-06-07 03:24:00,15,3.99,0.64,0.0021,False,
2020-06-08 11:52:00,2020-06-08 12:34:00,42,10.65,0.71,-0.2468,False,
2020-06-08 13:44:00,2020-06-08 14:21:00,37,22.97,0.94,-0.0175,False,
2020-06-08 16:12:00,2020-06-08 20:11:00,239,22.25,1.03,-0.0042,False,
2020-06-10 01:04:00,2020-06-10 03:14:00,130,22.33,0.96,-0.0047,False,
2020-06-10 08:57:00,2020-06-10 09:36:00,39,22.34,0.77,-0.0002,False,
2020-06-11 05:15:00,2020-06-11 06:07:00,52,12.79,0.74,-0.0007,False,
2020-06-12 01:05:00,2020-06-12 01:36:00,31,17.17,1.44,0.0017,False,
2020-06-13 09:07:00,2020-06-13 10:53:00,106,17.25,0.93,-0.0002,False,
2020-06-13 12:59:00,2020-06-13 13:37:00,38,22.28,1.46,0.0003,False,
2020-06-13 14:30:00,2020-06-13 14:48:00,18,9.66,0.34,0.0003,False,
2020-06-14 15:57:00,2020-06-14 16:14:00,17,2.58,0.77,-0.0008,False,
2020-06-14 20:18:00,2020-06-14 21:42:00,84,17.39,0.59,-0.0004,False,
2020-06-14 23:25:00,2020-06-15 01:13:00,108,9.68,1.0,0.0011,False,
2020-06-15 17:43:00,2020-06-15 18:21:00,38,8.53,0.75,-0.0021,False,
2020-06-16 17:18:00,2020-06-16 17:35:00,17,2.66,0.52,0.0002,False,
2020-06-16 21:09:00,2020-06-16 23:02:00,113,22.68,0.46,-0.0008,False,
2020-06-17 08:09:00,2020-06-17 08:20:00,11,2.42,0.85,0.0014,False,
2020-06-17 12:25:00,2020-06-19 01:47:00,2242,22.73,0.9,0.0003,False,
2020-06-19 05:20:00,2020-06-19 06:19:00,59,17.73,0.58,-0.0039,False,
2020-06-19 06:54:00,2020-06-19 07:06:00,12,3.43,0.45,0.0018,False,
2020-06-19 10:37:00,2020-06-19 10:54:00,17,2.59,1.15,-0.0024,False,
2020-06-19 12:28:00,2020-06-19 13:16:00,48,12.92,1.07,-0.0014,False,
2020-06-19 14:23:00,2020-06-19 14:34:00,11,2.63,0.73,-0.0004,False,
2020-06-19 18:03:00,2020-06-19 19:04:00,61,17.52,0.39,0.0001,False,
2020-06-21 04:29:00,2020-06-21 04:52:00,23,2.99,1.41,-0.005,False,
2020-06-25 05:17:00,2020-06-25 05:42:00,25,5.95,0.95,0.0022,False,
2020-06-25 19:43:00,2020-06-25 20:02:00,19,2.45,0.89,-0.0008,False,
2020-06-28 23:11:00,2020-06-28 23:53:00,42,12.62,1.6,-0.2022,False,
2020-07-03 00:39:00,2020-07-03 01:40:00,61,4.28,0.72,-0.0005,False,
2020-07-03 03:33:00,2020-07-03 03:48:00,15,4.52,0.95,-0.0005,False,
2020-07-05 10:51:00,2020-07-05 18:08:00,437,7.96,0.48,0.0019,False,
2020-07-06 15:30:00,2020-07-06 16:21:00,51,9.26,1.17,-0.0192,False,
2020-07-06 18:15:00,2020-07-06 23:52:00,337,5.63,1.07,-0.0017,False,
2020-07-07 11:10:00,2020-07-07 12:40:00,90,13.16,1.17,0.0038,False,
2020-07-08 15:24:00,2020-07-08 15:53:00,29,21.19,1.0,-0.1091,False,
2020-07-08 17:54:00,2020-07-08 19:58:00,124,20.81,0.96,0.0038,False,
2020-07-08 21:38:00,2020-07-08 21:55:00,17,21.23,1.71,-0.0011,False,
2020-07-09 23:23:00,2020-07-09 23:53:00,30,4.08,0.52,0.0013,False,
2020-07-10 23:45:00,2020-07-11 00:00:00,15,4.24,0.99,0.0032,False,
2020-07-11 05:36:00,2020-07-11 06:27:00,51,6.37,0.56,-0.0148,False,
2020-07-12 04:40:00,2020-07-12 05:43:00,63,6.85,0.42,-0.0847,False,
2020-07-13 09:30:00,2020-07-13 11:57:00,147,4.86,0.99,0.0006,False,
2020-07-14 02:04:00,2020-07-14 03:06:00,62,20.86,1.05,0.0259,False,
2020-07-15 14:50:00,2020-07-15 21:02:00,372,5.17,1.08,0.0006,False,
2020-07-16 15:36:00,2020-07-16 17:27:00,111,4.4,0.93,0.0006,False,
2020-07-17 00:57:00,2020-07-17 06:02:00,305,23.18,0.71,0.006,False,
2020-07-17 07:29:00,2020-07-17 08:25:00,56,5.31,1.28,-0.0152,False,
2020-07-17 09:27:00,2020-07-17 09:57:00,30,5.48,1.04,-0.0069,False,
2020-07-18 01:35:00,2020-07-18 02:18:00,43,21.13,1.23,0.0023,False,
2020-07-18 10:55:00,2020-07-18 11:10:00,15,4.06,1.32,-0.0003,False,
2020-07-20 09:48:00,2020-07-20 12:34:00,166,6.45,0.89,0.0008,False,
2020-07-21 22:10:00,2020-07-21 22:34:00,24,4.39,0.94,0.0012,False,
2020-07-22 06:48:00,2020-07-22 15:06:00,498,5.96,0.84,0.0036,False,
2020-07-24 01:04:00,2020-07-24 02:15:00,71,6.53,1.86,0.009,False,
2020-07-25 02:49:00,2020-07-25 03:59:00,70,4.58,1.54,-0.0258,False,
2020-07-26 04:44:00,2020-07-26 05:24:00,40,4.38,1.67,-0.0406,False,
2020-07-27 03:40:00,2020-07-27 04:39:00,59,7.24,1.57,-0.0017,False,
2020-07-28 03:39:00,2020-07-28 04:02:00,23,20.64,1.52,0.0135,False,
2020-07-28 22:59:00,2020-07-28 23:14:00,15,4.52,0.96,0.0033,False,
2020-07-29 05:07:00,2020-07-29 05:50:00,43,3.54,1.71,0.003,False,
2020-07-30 23:31:00,2020-07-31 01:17:00,106,4.39,1.26,0.0044,False,
2020-07-31 01:51:00,2020-07-31 06:49:00,298,18.95,0.41,0.0148,False,
2020-08-03 09:05:00,2020-08-03 09:52:00,47,10.46,1.43,-0.171,False,
2020-08-03 13:39:00,2020-08-03 15:08:00,89,4.88,1.44,-0.001,False,
2020-08-05 08:27:00,2020-08-05 09:07:00,40,10.25,0.94,-0.2142,False,
2020-08-06 08:36:00,2020-08-06 09:10:00,34,19.9,0.92,0.0054,False,
2020-08-07 18:19:00,2020-08-07 18:44:00,25,4.77,0.85,0.0006,False,
2020-08-12 00:37:00,2020-08-12 01:21:00,44,6.34,1.33,0.009,False,
2020-08-13 05:04:00,2020-08-13 05:19:00,15,4.98,0.44,0.0006,False,
2020-08-15 00:28:00,2020-08-15 01:40:00,72,7.53,1.44,0.0075,False,
2020-08-16 02:55:00,2020-08-16 03:17:00,22,6.21,1.87,-0.2749,False,
2020-08-17 01:39:00,2020-08-17 02:14:00,35,8.15,0.92,-0.017,False,
2020-08-19 10:58:00,2020-08-19 13:39:00,161,4.3,1.08,0.0,False,
2020-08-21 03:44:00,2020-08-21 04:55:00,71,4.79,1.25,0.0,False,
2020-08-23 18:55:00,2020-08-23 19:10:00,15,4.64,0.52,-0.4051,False,
2020-08-26 02:18:00,2020-08-26 02:59:00,41,2.74,1.75,-0.0302,False,
2020-08-28 01:17:00,2020-08-28 01:53:00,36,4.91,1.66,0.011,False,
2020-08-29 05:01:00,2020-08-29 05:55:00,54,4.0,1.68,0.0054,False,
2020-09-01 02:41:00,2020-09-01 03:41:00,60,5.19,1.4,-0.0213,False,
