unit,true_RUL,pred_gradient_boosting,pred_random_forest,pred_ridge,pred_constant_125,pred_constant_true_mean_oracle,pred_constant_train_median_diagnostic,pred_trend_extrapolation
26,119.0,108.95779300542338,114.085,114.96670717329974,125.0,75.52,98.0,300.0
27,66.0,116.85634838559578,116.23,108.40043264691795,125.0,75.52,98.0,0.0
28,97.0,109.52690110138744,101.515,105.41159331369575,125.0,75.52,98.0,93.4118363247451
29,90.0,98.86578458238915,106.09,95.27668040426158,125.0,75.52,98.0,300.0
30,115.0,104.76938980080301,101.73,95.43815442851394,125.0,75.52,98.0,195.4282824238957
31,8.0,10.857744786859753,12.995,10.43429420694062,125.0,75.52,98.0,52.04523267471464
32,48.0,54.67986396153523,47.565,74.96427031738611,125.0,75.52,98.0,101.47361510533655
33,106.0,103.6870884801604,89.255,89.10450783344575,125.0,75.52,98.0,300.0
34,7.0,3.478062595321438,8.88,8.150923215068772,125.0,75.52,98.0,0.0
35,11.0,6.4923005607963,10.685,13.37638487311635,125.0,75.52,98.0,2.991159541137134
36,19.0,19.371969149661016,18.93,27.090073677289183,125.0,75.52,98.0,32.72103477175133
37,21.0,66.84831766337204,77.24,75.69688566906177,125.0,75.52,98.0,24.9342975454967
38,50.0,57.15273682655332,62.995,48.61070048609076,125.0,75.52,98.0,176.24310735981658
39,142.0,122.09006480482488,122.975,130.06316534623846,125.0,75.52,98.0,0.0
40,28.0,34.27804428083896,30.93,51.473358738214415,125.0,75.52,98.0,48.78306124727831
41,18.0,54.422917371962605,54.91,67.36852425358266,125.0,75.52,98.0,31.2489564308427
42,10.0,16.37167801970398,24.98,39.884256796659756,125.0,75.52,98.0,20.998719119624862
43,59.0,85.19158625544134,97.34,72.39520103711163,125.0,75.52,98.0,94.76817522390618
44,109.0,102.49455098211341,105.845,97.92784629055188,125.0,75.52,98.0,300.0
45,114.0,51.0208847630103,52.11,55.249043870546046,125.0,75.52,98.0,0.0
46,47.0,49.453620544235726,54.5,50.94141644628502,125.0,75.52,98.0,119.99039474020245
47,135.0,112.09368086289392,95.365,100.65998211379083,125.0,75.52,98.0,300.0
48,92.0,102.72202499267304,104.165,100.1795168616187,125.0,75.52,98.0,77.97534324214254
49,21.0,19.43095819705584,21.41,39.75369490742196,125.0,75.52,98.0,0.0
50,79.0,101.07882261001122,92.565,101.35665593335818,125.0,75.52,98.0,205.84798995066072
51,114.0,103.64402856718009,103.215,97.71939049810219,125.0,75.52,98.0,0.0
52,29.0,46.458843879817934,46.24,62.48438591421724,125.0,75.52,98.0,33.914121469865236
53,26.0,38.77586031444443,38.08,52.35802261084366,125.0,75.52,98.0,79.72462177303473
54,97.0,121.94905468107572,118.67,109.92943058174788,125.0,75.52,98.0,168.03601688728415
55,137.0,111.80434211532152,111.995,113.2426597848367,125.0,75.52,98.0,300.0
56,15.0,14.848416107149758,13.225,36.534136521899406,125.0,75.52,98.0,26.638029286913866
57,103.0,96.40578123415942,93.745,78.4360410121027,125.0,75.52,98.0,300.0
58,37.0,55.295394294231635,49.56,61.821514055898,125.0,75.52,98.0,46.95021051174011
59,114.0,113.87366240409301,109.635,124.62796988964622,125.0,75.52,98.0,0.0
60,100.0,109.0280233454358,119.885,96.09634796178989,125.0,75.52,98.0,300.0
61,21.0,34.075692408713884,40.005,40.155324599154945,125.0,75.52,98.0,21.4722404969904
62,54.0,49.80661939854278,50.655,62.95570646868022,125.0,75.52,98.0,119.28634712569902
63,72.0,86.81512453429144,76.49,82.48389902504309,125.0,75.52,98.0,201.78684917779904
64,28.0,38.85067443143901,34.095,50.6899109721549,125.0,75.52,98.0,115.95134600077321
65,128.0,120.26826354982619,121.91,131.92216324611192,125.0,75.52,98.0,235.63043157793052
66,14.0,18.768763472823082,15.87,16.035664805122494,125.0,75.52,98.0,73.88313742960406
67,77.0,109.22286773773146,107.79,111.8532891650234,125.0,75.52,98.0,0.0
68,8.0,5.665376265700744,10.31,13.634854215830401,125.0,75.52,98.0,0.44796686313948075
69,121.0,115.80292281460126,115.88,118.01261374307644,125.0,75.52,98.0,0.0
70,94.0,110.23211482766126,111.395,91.5058240399549,125.0,75.52,98.0,168.17571382239683
71,118.0,108.28409930091286,107.655,109.28277851352892,125.0,75.52,98.0,300.0
72,50.0,91.61467245336911,94.165,79.4479802271837,125.0,75.52,98.0,71.76028501627286
73,131.0,106.88113422073769,102.935,111.75675649063979,125.0,75.52,98.0,300.0
74,126.0,91.37636968140184,98.335,82.33596744062748,125.0,75.52,98.0,300.0
75,113.0,107.09703273837444,107.905,97.36489390209147,125.0,75.52,98.0,159.85562670688662
76,10.0,5.665717433448377,6.545,0.0,125.0,75.52,98.0,32.82456662035374
77,34.0,52.709281859217754,45.74,63.155996267901834,125.0,75.52,98.0,58.60515978282247
78,107.0,125.591720339983,125.0,138.7715503748806,125.0,75.52,98.0,300.0
79,63.0,106.54025879437546,118.5,103.20369134026429,125.0,75.52,98.0,153.56282692015435
80,90.0,90.84770417812881,84.08,75.47222637744163,125.0,75.52,98.0,0.0
81,8.0,2.676272188166586,7.465,0.0,125.0,75.52,98.0,13.626640989474764
82,9.0,3.6090606039819635,11.24,11.838793027167242,125.0,75.52,98.0,0.6318381441543501
83,137.0,116.70884200877529,115.465,113.8987738146603,125.0,75.52,98.0,300.0
84,58.0,70.80840281967635,74.625,71.1770125633696,125.0,75.52,98.0,0.0
85,118.0,99.23077170298711,98.175,96.65523079993238,125.0,75.52,98.0,0.0
86,89.0,107.7973580573866,112.72,91.58918004575679,125.0,75.52,98.0,0.0
87,116.0,115.54256643019725,117.05,130.09217760919216,125.0,75.52,98.0,300.0
88,115.0,118.01662373149286,115.775,104.02897307328999,125.0,75.52,98.0,134.24820654208915
89,136.0,110.12356125134052,112.585,92.1405471830917,125.0,75.52,98.0,300.0
90,28.0,26.73104159835967,26.495,25.712057908358666,125.0,75.52,98.0,85.6726074572949
91,38.0,26.45128961544816,20.275,46.25612697042199,125.0,75.52,98.0,0.0
92,20.0,18.72022171764122,17.64,28.801128537319613,125.0,75.52,98.0,171.210483911702
93,85.0,44.76446030631497,41.555,54.64328905129643,125.0,75.52,98.0,300.0
94,55.0,52.6184285846198,59.03,61.24072512846426,125.0,75.52,98.0,0.0
95,128.0,111.43873140427726,110.755,104.07515802058491,125.0,75.52,98.0,300.0
96,137.0,117.58430765570415,117.615,123.97725087612397,125.0,75.52,98.0,130.57418007612736
97,82.0,95.0519123048506,88.23,98.32184910662257,125.0,75.52,98.0,259.93706587315194
98,59.0,88.36469457138926,83.525,75.02651514380928,125.0,75.52,98.0,53.65582773847451
99,117.0,124.15872173239678,123.575,115.35102405870171,125.0,75.52,98.0,0.0
100,20.0,10.670977951448574,25.595,22.875958638451714,125.0,75.52,98.0,29.585602692566447
